市 年	微博数	微博字数	身体形象	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
四川 泸州_2024	31153	1499217	0.0028507424142024626	1498557	749278.5	0.00459375252326071	0.010694955213582132	0.0	0.0	2.0686567144259444e-05	0	0	0	0
四川 甘孜_2010	6606	239008	0.0017532994668965345	238978	238978.0	0.0030379365464603438	0.00403802860514357	0.0	0.0	2.9291399208295325e-05	0	0	0	0
四川 甘孜_2011	54767	2029916	0.0016039318257523943	2029388	2029388.0	0.0026717414314069068	0.013894336617738944	0.0	0.0	6.800079629917985e-05	0	0	0	0
四川 甘孜_2012	65244	2713240	0.0016147774998820255	2712448	2712448.0	0.002640419281770563	0.022199503916757114	0.0	0.0	4.460915011089614e-05	0	0	1	0
四川 甘孜_2013	15065	579063	0.0018569155854811657	578917	578917.0	0.0030816161902310693	0.008871738090261644	0.0	0.0	6.21850800719274e-05	0	0	0	0
四川 甘孜_2014	13115	508897	0.001502366620717321	508531	101706.2	0.0024128322560473207	0.016282193219292432	0.0	0.0	0.00010618821664755934	0	0	0	0
四川 甘孜_2015	8327	320502	0.0015767551939252773	320278	320278.0	0.0025040745852041037	0.006759752465045991	0.0	0.0	0.00014986980061071944	0	0	2	0
四川 甘孜_2016	7289	262312	0.001861884776802747	262100	262100.0	0.0030408241129339948	0.005604731018695155	0.0	0.0	8.77527661198016e-05	0	0	0	0
四川 甘孜_2017	4952	210846	0.001437845225214965	210732	17561.0	0.002230320976406051	0.005841542812672019	0.0	0.0	6.643509291422281e-05	0	0	0	0
四川 甘孜_2018	3234	129349	0.0012916798799588519	129289	129289.0	0.0021502215965782086	0.004841865897330786	0.0	0.0	8.508071065597228e-05	0	0	0	0
四川 甘孜_2019	4471	162403	0.0015402339923481175	162313	162313.0	0.0025259837474509127	0.0038998724686254336	0.0	0.0	0.00010473591147967199	0	0	0	0
四川 甘孜_2020	2858	98051	0.0014698227026364945	97971	97971.0	0.0023578405854793767	0.005083136846617877	0.0	0.0	0.00015310653152463485	0	0	5	0
