UID	province	city	year	微博数	微博字数	消极感受	社会比较	强迫性思维	认知偏差	休息不耐受	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
安徽 安庆_2010	安徽	安庆	2010	42091	1028429	5.837512830366742e-06	3.891675220244494e-06	8.756269245550113e-06	3.891675220244494e-06	2.23771E-05	1027835	513917.5	7.686058559982877e-05	0.005580662265830605	0	0	0.00016928787208063552	0	0	0	0
安徽 安庆_2011	安徽	安庆	2011	278471	8410529	2.9740955091514704e-06	6.186118659035059e-06	5.8292271979368814e-06	5.472335736838705e-06	2.04618E-05	8405917	8405917	6.733352232718929e-05	0.011666781863299388	0	0	8.957975673564229e-05	0	0	29	0
安徽 安庆_2012	安徽	安庆	2012	257673	8591561	4.075259090418472e-06	4.77387493449021e-06	6.287542596645643e-06	4.657438960478254e-06	1.97941E-05	8588411	86751.62626262626	6.683424908286294e-05	0.011842470044808056	0	0	6.05467064862173e-05	0	0	13	0
安徽 安庆_2013	安徽	安庆	2013	97317	3071601	2.377626340712552e-05	5.536938053714162e-06	4.885533576806613e-06	5.536938053714162e-06	3.97357E-05	3070289	3070289	0.00013288651328913987	0.00861938403844068	0	0	7.295730141364543e-05	0	0	4	0
安徽 安庆_2014	安徽	安庆	2014	87919	2972372	1.6833917245809533e-06	5.723531863575241e-06	5.723531863575241e-06	2.693426759329525e-06	1.58239E-05	2970194	1485097	4.949171670268003e-05	0.007960422787198412	0	0	9.595332830111434e-05	0	0	0	0
安徽 安庆_2015	安徽	安庆	2015	69707	2424542	1.651177248098463e-06	6.604708992393852e-06	8.668680552516931e-06	2.8895601841723105e-06	1.98141E-05	2422514	2422514	6.191914680369236e-05	0.00999663985430012	0	0	0.00010691372681437547	0	0	3	0
安徽 安庆_2016	安徽	安庆	2016	76424	3583835	1.9540382293622158e-06	1.6748899108818992e-06	3.628928140244115e-06	3.9080764587244315e-06	1.11659E-05	3582325	3582325	4.04765061796459e-05	0.014110110054224561	0	0	6.978707962007914e-05	0	0	12	0
安徽 安庆_2017	安徽	安庆	2017	63944	3896292	1.5403265184153737e-06	4.877700641648683e-06	5.904584987258932e-06	3.5940952096358718e-06	1.59167E-05	3895278	3895278	5.570847574935602e-05	0.016778776765098667	0	0	3.311702014593053e-05	0	0	2	0
安徽 安庆_2018	安徽	安庆	2018	51433	3267597	1.8365613449750917e-06	7.040151822404518e-06	9.794993839867155e-06	5.203590477429426e-06	2.38753E-05	3266975	1633487.5	9.397072215122552e-05	0.016385188132752776	0	0	2.2957016812188645e-05	0	0	0	0
安徽 安庆_2019	安徽	安庆	2019	42608	2322741	1.7230112896007224e-06	1.7230112896007224e-06	8.615056448003611e-06	1.7230112896007224e-06	1.37841E-05	2321517	2321517	5.039808022082113e-05	0.016350084879843654	0	0	3.1014203212813e-05	0	0	2	0
安徽 安庆_2020	安徽	安庆	2020	35252	1948919	5.133762755475286e-07	1.0267525510950572e-06	8.214020408760458e-06	2.0535051021901144e-06	1.18077E-05	1947889	389577.8	3.8503220666064645e-05	0.01781877714797917	0	0	5.236438010584792e-05	0	0	8	0
