"Number","day","ris_total","bts_total","age","gender","education","nation","week","ris_between","ris_within","bts_between","bts_within","ris_between_c","bts_between_c","ris_within_lag1","bts_within_lag1","ris_total_lag1","bts_total_lag1"
"A11",1,4,3,23,1,3,0,1,3.5,0.5,4.14285714285714,-1.14285714285714,-2.73324874636301,-6.74287440442852,NA,NA,NA,NA
"A11",2,2,3,23,1,3,0,1,3.5,-1.5,4.14285714285714,-1.14285714285714,-2.73324874636301,-6.74287440442852,0.5,-1.14285714285714,4,3
"A11",3,2,5,23,1,3,0,1,3.5,-1.5,4.14285714285714,0.857142857142857,-2.73324874636301,-6.74287440442852,-1.5,-1.14285714285714,2,3
"A11",4,2,3,23,1,3,0,1,3.5,-1.5,4.14285714285714,-1.14285714285714,-2.73324874636301,-6.74287440442852,-1.5,0.857142857142857,2,5
"A11",5,2,5,23,1,3,0,1,3.5,-1.5,4.14285714285714,0.857142857142857,-2.73324874636301,-6.74287440442852,-1.5,-1.14285714285714,2,3
"A11",6,2,4,23,1,3,0,1,3.5,-1.5,4.14285714285714,-0.142857142857143,-2.73324874636301,-6.74287440442852,-1.5,0.857142857142857,2,5
"A11",7,2,4,23,1,3,0,1,3.5,-1.5,4.14285714285714,-0.142857142857143,-2.73324874636301,-6.74287440442852,-1.5,-0.142857142857143,2,4
"A11",8,2,4,23,1,3,0,2,3.5,-1.5,4.14285714285714,-0.142857142857143,-2.73324874636301,-6.74287440442852,-1.5,-0.142857142857143,2,4
"A11",9,2,4,23,1,3,0,2,3.5,-1.5,4.14285714285714,-0.142857142857143,-2.73324874636301,-6.74287440442852,-1.5,-0.142857142857143,2,4
"A11",10,5,6,23,1,3,0,2,3.5,1.5,4.14285714285714,1.85714285714286,-2.73324874636301,-6.74287440442852,-1.5,-0.142857142857143,2,4
"A11",11,2,4,23,1,3,0,2,3.5,-1.5,4.14285714285714,-0.142857142857143,-2.73324874636301,-6.74287440442852,1.5,1.85714285714286,5,6
"A11",12,7,5,23,1,3,0,2,3.5,3.5,4.14285714285714,0.857142857142857,-2.73324874636301,-6.74287440442852,-1.5,-0.142857142857143,2,4
"A11",13,7,4,23,1,3,0,2,3.5,3.5,4.14285714285714,-0.142857142857143,-2.73324874636301,-6.74287440442852,3.5,0.857142857142857,7,5
"A11",14,8,4,23,1,3,0,2,3.5,4.5,4.14285714285714,-0.142857142857143,-2.73324874636301,-6.74287440442852,3.5,-0.142857142857143,7,4
"A12",1,7,13,25,1,3,0,1,5.21428571428571,1.78571428571429,12.6428571428571,0.357142857142858,-1.01896303207729,1.75712559557148,NA,NA,NA,NA
"A12",2,9,12,25,1,3,0,1,5.21428571428571,3.78571428571429,12.6428571428571,-0.642857142857142,-1.01896303207729,1.75712559557148,1.78571428571429,0.357142857142858,7,13
"A12",3,10,14,25,1,3,0,1,5.21428571428571,4.78571428571429,12.6428571428571,1.35714285714286,-1.01896303207729,1.75712559557148,3.78571428571429,-0.642857142857142,9,12
"A12",4,10,15,25,1,3,0,1,5.21428571428571,4.78571428571429,12.6428571428571,2.35714285714286,-1.01896303207729,1.75712559557148,4.78571428571429,1.35714285714286,10,14
"A12",5,5,10,25,1,3,0,1,5.21428571428571,-0.214285714285714,12.6428571428571,-2.64285714285714,-1.01896303207729,1.75712559557148,4.78571428571429,2.35714285714286,10,15
"A12",6,10,13,25,1,3,0,1,5.21428571428571,4.78571428571429,12.6428571428571,0.357142857142858,-1.01896303207729,1.75712559557148,-0.214285714285714,-2.64285714285714,5,10
"A12",7,4,9,25,1,3,0,1,5.21428571428571,-1.21428571428571,12.6428571428571,-3.64285714285714,-1.01896303207729,1.75712559557148,4.78571428571429,0.357142857142858,10,13
"A12",8,2,12,25,1,3,0,2,5.21428571428571,-3.21428571428571,12.6428571428571,-0.642857142857142,-1.01896303207729,1.75712559557148,-1.21428571428571,-3.64285714285714,4,9
"A12",9,2,14,25,1,3,0,2,5.21428571428571,-3.21428571428571,12.6428571428571,1.35714285714286,-1.01896303207729,1.75712559557148,-3.21428571428571,-0.642857142857142,2,12
"A12",10,2,16,25,1,3,0,2,5.21428571428571,-3.21428571428571,12.6428571428571,3.35714285714286,-1.01896303207729,1.75712559557148,-3.21428571428571,1.35714285714286,2,14
"A12",11,2,15,25,1,3,0,2,5.21428571428571,-3.21428571428571,12.6428571428571,2.35714285714286,-1.01896303207729,1.75712559557148,-3.21428571428571,3.35714285714286,2,16
"A12",12,2,15,25,1,3,0,2,5.21428571428571,-3.21428571428571,12.6428571428571,2.35714285714286,-1.01896303207729,1.75712559557148,-3.21428571428571,2.35714285714286,2,15
"A12",13,4,10,25,1,3,0,2,5.21428571428571,-1.21428571428571,12.6428571428571,-2.64285714285714,-1.01896303207729,1.75712559557148,-3.21428571428571,2.35714285714286,2,15
"A12",14,4,9,25,1,3,0,2,5.21428571428571,-1.21428571428571,12.6428571428571,-3.64285714285714,-1.01896303207729,1.75712559557148,-1.21428571428571,-2.64285714285714,4,10
"A13",1,10,9,23,0,3,0,1,6.21428571428571,3.78571428571429,10.3571428571429,-1.35714285714286,-0.0189630320772922,-0.528588690142804,NA,NA,NA,NA
"A13",2,8,11,23,0,3,0,1,6.21428571428571,1.78571428571429,10.3571428571429,0.642857142857142,-0.0189630320772922,-0.528588690142804,3.78571428571429,-1.35714285714286,10,9
"A13",3,10,11,23,0,3,0,1,6.21428571428571,3.78571428571429,10.3571428571429,0.642857142857142,-0.0189630320772922,-0.528588690142804,1.78571428571429,0.642857142857142,8,11
"A13",4,7,10,23,0,3,0,1,6.21428571428571,0.785714285714286,10.3571428571429,-0.357142857142858,-0.0189630320772922,-0.528588690142804,3.78571428571429,0.642857142857142,10,11
"A13",5,6,10,23,0,3,0,1,6.21428571428571,-0.214285714285714,10.3571428571429,-0.357142857142858,-0.0189630320772922,-0.528588690142804,0.785714285714286,-0.357142857142858,7,10
"A13",6,6,12,23,0,3,0,1,6.21428571428571,-0.214285714285714,10.3571428571429,1.64285714285714,-0.0189630320772922,-0.528588690142804,-0.214285714285714,-0.357142857142858,6,10
"A13",7,4,10,23,0,3,0,1,6.21428571428571,-2.21428571428571,10.3571428571429,-0.357142857142858,-0.0189630320772922,-0.528588690142804,-0.214285714285714,1.64285714285714,6,12
"A13",8,4,10,23,0,3,0,2,6.21428571428571,-2.21428571428571,10.3571428571429,-0.357142857142858,-0.0189630320772922,-0.528588690142804,-2.21428571428571,-0.357142857142858,4,10
"A13",9,6,10,23,0,3,0,2,6.21428571428571,-0.214285714285714,10.3571428571429,-0.357142857142858,-0.0189630320772922,-0.528588690142804,-2.21428571428571,-0.357142857142858,4,10
